date,home_team,away_team,elo_home_before,elo_away_before,elo_home_after,elo_away_after
1916-07-02,Chile,Uruguay,1500.0,1500.0,1410.0,1590.0
1916-07-06,Argentina,Chile,1500.0,1410.0,1548.2,1361.8
1916-07-08,Brazil,Chile,1500.0,1361.8,1481.9,1380.0
1916-07-10,Argentina,Brazil,1548.2,1481.9,1526.8,1503.2
1916-07-12,Brazil,Uruguay,1503.2,1590.0,1467.0,1626.3
1916-07-17,Argentina,Uruguay,1526.8,1626.3,1526.7,1626.3
1917-09-30,Uruguay,Chile,1626.3,1380.0,1647.9,1358.4
1917-10-03,Argentina,Brazil,1526.7,1467.0,1586.5,1407.2
1917-10-06,Argentina,Chile,1586.5,1358.4,1606.8,1338.0
1917-10-07,Uruguay,Brazil,1647.9,1407.2,1670.1,1385.0
1917-10-12,Brazil,Chile,1385.0,1338.0,1468.1,1254.9
1917-10-14,Uruguay,Argentina,1670.1,1606.8,1697.1,1579.9
1919-05-11,Brazil,Chile,1468.1,1254.9,1497.0,1226.1
1919-05-13,Argentina,Uruguay,1579.9,1697.1,1547.5,1729.5
1919-05-17,Chile,Uruguay,1226.1,1729.5,1218.6,1737.0
1919-05-18,Brazil,Argentina,1497.0,1547.5,1558.8,1485.7
1919-05-22,Argentina,Chile,1485.7,1218.6,1515.4,1188.8
1919-05-26,Brazil,Uruguay,1558.8,1737.0,1569.4,1726.4
1919-05-29,Brazil,Uruguay,1569.4,1726.4,1625.2,1670.6
1920-09-11,Chile,Brazil,1188.8,1625.2,1176.7,1637.3
1920-09-12,Uruguay,Argentina,1670.6,1515.4,1650.5,1535.5
1920-09-18,Brazil,Uruguay,1637.3,1650.5,1539.2,1748.6
1920-09-20,Chile,Argentina,1176.7,1535.5,1207.1,1505.2
1920-09-25,Argentina,Brazil,1505.2,1539.2,1584.2,1460.1
1920-10-03,Chile,Uruguay,1207.1,1748.6,1200.1,1755.6
1921-10-02,Argentina,Brazil,1584.2,1460.1,1604.9,1439.4
1921-10-09,Paraguay,Uruguay,1500.0,1755.6,1578.1,1677.5
1921-10-12,Brazil,Paraguay,1439.4,1578.1,1555.3,1462.2
1921-10-16,Argentina,Paraguay,1604.9,1462.2,1638.2,1428.9
1921-10-23,Brazil,Uruguay,1555.3,1677.5,1523.5,1709.3
1921-10-30,Argentina,Uruguay,1638.2,1709.3,1682.2,1665.3
1922-09-17,Brazil,Chile,1523.5,1200.1,1483.2,1240.3
1922-09-23,Chile,Uruguay,1240.3,1665.3,1228.9,1676.8
1922-09-24,Brazil,Paraguay,1483.2,1428.9,1463.2,1448.9
1922-09-28,Argentina,Chile,1682.2,1228.9,1694.6,1216.5
1922-10-01,Brazil,Uruguay,1463.2,1676.8,1478.3,1661.6
1922-10-05,Chile,Paraguay,1216.5,1448.9,1181.6,1483.9
1922-10-08,Argentina,Uruguay,1694.6,1661.6,1642.0,1714.2
1922-10-12,Paraguay,Uruguay,1483.9,1714.2,1559.7,1638.3
1922-10-15,Brazil,Argentina,1478.3,1642.0,1563.4,1557.0
1922-10-18,Argentina,Paraguay,1557.0,1559.7,1629.5,1487.1
1922-11-06,Brazil,Paraguay,1563.4,1487.1,1608.1,1442.4
1923-10-29,Argentina,Paraguay,1629.5,1442.4,1653.9,1418.1
1923-11-04,Uruguay,Paraguay,1638.3,1418.1,1658.0,1398.4
1923-11-11,Brazil,Paraguay,1608.1,1398.4,1534.2,1472.3
1923-11-18,Argentina,Brazil,1653.9,1534.2,1686.0,1502.1
1923-11-25,Uruguay,Brazil,1658.0,1502.1,1675.9,1484.2
1923-12-02,Uruguay,Argentina,1675.9,1686.0,1729.7,1632.2
1924-10-12,Argentina,Paraguay,1632.2,1472.3,1611.6,1492.9
1924-10-19,Uruguay,Chile,1729.7,1181.6,1734.2,1177.1
1924-10-25,Argentina,Chile,1611.6,1177.1,1622.5,1166.2
1924-10-26,Uruguay,Paraguay,1734.2,1492.9,1751.9,1475.2
1924-11-01,Chile,Paraguay,1166.2,1475.2,1145.4,1496.0
1924-11-02,Uruguay,Argentina,1751.9,1622.5,1724.1,1650.3
1925-11-29,Argentina,Paraguay,1650.3,1496.0,1677.3,1469.0
1925-12-06,Brazil,Paraguay,1484.2,1469.0,1564.5,1388.6
1925-12-13,Argentina,Brazil,1677.3,1564.5,1715.5,1526.4
1925-12-17,Brazil,Paraguay,1526.4,1388.6,1571.2,1343.8
1925-12-20,Argentina,Paraguay,1715.5,1343.8,1724.4,1334.8
