team,fifa_rank,fifa_points
Afghanistan,151.0,1034.37
Albania,66.0,1379.4
Algeria,44.0,1474.13
American Samoa,188.0,890.97
Andorra,162.0,996.05
Angola,92.0,1248.94
Anguilla,209.0,779.86
Antigua and Barbuda,148.0,1052.8
Argentina,1.0,1860.14
Armenia,96.0,1230.79
Aruba,194.0,873.9
Australia,23.0,1571.29
Austria,25.0,1560.03
Azerbaijan,111.0,1179.88
Bahamas,203.0,823.58
Bahrain,81.0,1302.86
Bangladesh,185.0,896.67
Barbados,177.0,932.64
Belarus,98.0,1219.78
Belgium,3.0,1797.98
Belize,184.0,901.43
Benin,91.0,1254.18
Bermuda,171.0,971.15
Bhutan,183.0,904.1
Bolivia,84.0,1282.43
Bosnia and Herzegovina,75.0,1332.3
Botswana,145.0,1064.19
Brazil,4.0,1791.85
British Virgin Islands,207.0,801.29
Brunei Darussalam,191.0,881.73
Bulgaria,82.0,1295.5
Burkina Faso,67.0,1375.16
Burundi,140.0,1091.24
Cambodia,180.0,924.52
Cameroon,49.0,1458.47
Canada,48.0,1461.74
Cape Verde,65.0,1380.53
Cayman Islands,195.0,865.34
Central African Republic,127.0,1129.3
Chad,178.0,929.97
Chile,40.0,1496.13
China PR,88.0,1267.51
Colombia,12.0,1669.44
Comoros,119.0,1158.71
Congo,113.0,1176.45
Cook Islands,187.0,896.59
Costa Rica,52.0,1454.2
Croatia,9.0,1728.3
Cuba,169.0,975.01
Curacao,87.0,1272.71
Cyprus,126.0,1136.78
Czech Republic,34.0,1506.23
Czechoslovakia,19.0,49.0
DR Congo,61.0,1400.93
Denmark,21.0,1610.76
Djibouti,193.0,875.13
Dominica,182.0,912.93
Dominican Republic,150.0,1045.64
East Timor,196.0,843.4
Ecuador,30.0,1517.54
Egypt,36.0,1502.34
El Salvador,80.0,1303.65
England,5.0,1787.88
Equatorial Guinea,89.0,1260.5
Eritrea,195.0,855.56
Estonia,123.0,1146.47
Ethiopia,143.0,1066.16
Faroe Islands,139.0,1093.7
Fiji,166.0,983.81
Finland,63.0,1393.4
France,2.0,1837.47
Gabon,83.0,1288.45
Georgia,74.0,1338.91
