date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff,total_goals,tournament_weight
1916-07-02,Chile,Uruguay,0.0,4.0,Copa América,Buenos Aires,Argentina,True,away_win,-4.0,4.0,3
1916-07-06,Argentina,Chile,6.0,1.0,Copa América,Buenos Aires,Argentina,False,home_win,5.0,7.0,3
1916-07-08,Brazil,Chile,1.0,1.0,Copa América,Buenos Aires,Argentina,True,draw,0.0,2.0,3
1916-07-10,Argentina,Brazil,1.0,1.0,Copa América,Buenos Aires,Argentina,False,draw,0.0,2.0,3
1916-07-12,Brazil,Uruguay,1.0,2.0,Copa América,Buenos Aires,Argentina,True,away_win,-1.0,3.0,3
1916-07-17,Argentina,Uruguay,0.0,0.0,Copa América,Avellaneda,Argentina,False,draw,0.0,0.0,3
1917-09-30,Uruguay,Chile,4.0,0.0,Copa América,Montevideo,Uruguay,False,home_win,4.0,4.0,3
1917-10-03,Argentina,Brazil,4.0,2.0,Copa América,Montevideo,Uruguay,True,home_win,2.0,6.0,3
1917-10-06,Argentina,Chile,1.0,0.0,Copa América,Montevideo,Uruguay,True,home_win,1.0,1.0,3
1917-10-07,Uruguay,Brazil,4.0,0.0,Copa América,Montevideo,Uruguay,False,home_win,4.0,4.0,3
1917-10-12,Brazil,Chile,5.0,0.0,Copa América,Montevideo,Uruguay,True,home_win,5.0,5.0,3
1917-10-14,Uruguay,Argentina,1.0,0.0,Copa América,Montevideo,Uruguay,False,home_win,1.0,1.0,3
1919-05-11,Brazil,Chile,6.0,0.0,Copa América,Rio de Janeiro,Brazil,False,home_win,6.0,6.0,3
1919-05-13,Argentina,Uruguay,2.0,3.0,Copa América,Rio de Janeiro,Brazil,True,away_win,-1.0,5.0,3
1919-05-17,Chile,Uruguay,0.0,2.0,Copa América,Rio de Janeiro,Brazil,True,away_win,-2.0,2.0,3
1919-05-18,Brazil,Argentina,3.0,1.0,Copa América,Rio de Janeiro,Brazil,False,home_win,2.0,4.0,3
1919-05-22,Argentina,Chile,4.0,1.0,Copa América,Rio de Janeiro,Brazil,True,home_win,3.0,5.0,3
1919-05-26,Brazil,Uruguay,2.0,2.0,Copa América,Rio de Janeiro,Brazil,False,draw,0.0,4.0,3
1919-05-29,Brazil,Uruguay,1.0,0.0,Copa América,Rio de Janeiro,Brazil,False,home_win,1.0,1.0,3
1920-09-11,Chile,Brazil,0.0,1.0,Copa América,Viña del Mar,Chile,False,away_win,-1.0,1.0,3
