team,avg_market_value,total_market_value,avg_caps,squad_size
Algeria,9594230.76923077,249450000,30.5,26
Argentina,31057692.307692308,807500000,48.73076923076923,26
Australia,3105769.230769231,80750000,28.884615384615383,26
Austria,9407692.307692308,244600000,39.23076923076923,26
Belgium,21057692.307692308,547500000,42.34615384615385,26
Bosnia and Herzegovina,5630769.230769231,146400000,23.576923076923077,26
Brazil,35700000.0,928200000,35.84615384615385,26
Canada,7551923.076923077,196350000,37.42307692307692,26
Cape Verde,2008653.8461538462,52225000,32.34615384615385,26
Colombia,11628846.153846154,302350000,40.73076923076923,26
Croatia,14896153.846153846,387300000,45.23076923076923,26
Curaçao,1207692.3076923077,31400000,24.423076923076923,26
Czech Republic,7237500.0,188175000,28.384615384615383,26
DR Congo,5669230.769230769,147400000,31.0,26
Ecuador,13990384.615384616,363750000,30.192307692307693,26
Egypt,4234615.384615385,110100000,32.57692307692308,26
England,52238461.538461536,1358200000,32.80769230769231,26
France,58576923.07692308,1523000000,31.384615384615383,26
Germany,36423076.92307692,947000000,33.07692307692308,26
Ghana,8975000.0,233350000,22.5,26
Haiti,2109615.3846153845,54850000,24.73076923076923,26
Iran,1175000.0,30550000,45.80769230769231,26
Iraq,815384.6153846154,21200000,32.5,26
Ivory Coast,20134615.384615384,523500000,27.76923076923077,26
Japan,10417307.692307692,270850000,31.653846153846153,26
Jordan,998076.9230769231,25950000,41.5,26
Mexico,7378846.153846154,191850000,47.57692307692308,26
Morocco,17219230.769230768,447700000,27.807692307692307,26
Netherlands,29007692.307692308,754200000,33.73076923076923,26
New Zealand,1234615.3846153845,32100000,32.61538461538461,26
Norway,22688461.53846154,589900000,31.423076923076923,26
Panama,1329807.6923076923,34575000,59.84615384615385,26
Paraguay,5890384.615384615,153150000,27.115384615384617,26
Portugal,38673076.92307692,1005500000,45.23076923076923,26
Qatar,766346.1538461539,19925000,61.0,26
Saudi Arabia,1573076.923076923,40900000,36.26923076923077,26
Scotland,4948076.923076923,128650000,38.03846153846154,26
Senegal,18388461.53846154,478100000,39.69230769230769,26
South Africa,1834615.3846153845,47700000,20.692307692307693,26
South Korea,5348076.923076923,139050000,37.46153846153846,26
Spain,47030769.23076923,1222800000,29.153846153846153,26
Sweden,15618269.23076923,406075000,20.423076923076923,26
Switzerland,12788461.538461538,332500000,44.15384615384615,26
Tunisia,2538461.5384615385,66000000,22.923076923076923,26
Türkiye,18219230.769230768,473700000,38.03846153846154,26
United States,13948076.923076924,362650000,37.57692307692308,26
Uruguay,13819230.76923077,359300000,36.26923076923077,26
Uzbekistan,3274038.4615384615,85125000,37.38461538461539,26
