team,avg_overall,max_overall,squad_depth
Afghanistan,60.0,60,1
Albania,74.1,79,15
Algeria,78.1,84,15
Andorra,67.0,67,1
Angola,71.9,77,15
Antigua and Barbuda,60.2,65,4
Argentina,84.1,88,15
Armenia,69.2,83,9
Australia,71.6,75,15
Austria,78.3,82,15
Azerbaijan,66.7,70,14
Bangladesh,72.0,72,1
Barbados,63.0,63,1
Belarus,66.5,69,2
Belgium,82.7,89,15
Benin,65.8,73,9
Bermuda,70.0,70,1
Bolivia,67.5,72,15
Bosnia and Herzegovina,75.1,81,15
Brazil,85.3,89,15
Bulgaria,69.0,77,15
Burkina Faso,70.1,81,15
Burundi,68.7,77,3
Cameroon,76.2,85,15
Canada,75.7,84,15
Cape Verde Islands,70.7,77,15
Central African Republic,72.2,78,4
Chad,73.0,73,1
Chile,74.5,77,15
China PR,69.1,71,15
Colombia,79.0,85,15
Comoros,68.8,77,11
Congo,64.9,73,15
Costa Rica,67.0,71,12
Croatia,80.3,84,15
Cuba,65.5,66,2
Curaçao,64.6,71,12
Cyprus,68.2,72,15
Czech Republic,76.9,85,15
DR Congo,74.9,82,15
Denmark,79.3,83,15
Dominican Republic,65.1,75,9
Ecuador,75.8,87,15
Egypt,72.7,91,9
El Salvador,64.5,70,4
England,85.2,90,15
Equatorial Guinea,66.9,76,9
Estonia,66.6,73,7
Faroe Islands,61.2,64,4
Finland,72.2,81,15
France,86.1,91,15
Gabon,69.5,81,11
Gambia,70.3,78,15
Georgia,74.7,87,15
Germany,84.8,89,15
Ghana,76.8,83,15
Gibraltar,52.0,52,1
Greece,77.3,82,15
Grenada,63.9,69,7
Guatemala,67.3,71,3
Guinea,73.5,87,15
Guinea-Bissau,69.5,76,15
Guyana,64.0,71,6
Haiti,65.4,72,12
Holland,83.9,90,15
Honduras,67.9,73,10
Hong Kong,59.9,67,7
Hungary,75.8,85,15
Iceland,71.6,79,15
India,65.7,68,15
Indonesia,68.1,78,14
Iran,71.0,78,6
Iraq,65.9,72,15
Israel,70.9,77,15
Italy,84.4,89,15
Ivory Coast,78.7,81,15
Jamaica,70.9,79,15
Japan,78.5,82,15
Jordan,75.0,75,2
Kenya,65.1,73,10
Kosovo,74.1,83,15
Latvia,64.4,72,8
Lebanon,63.0,64,2
Liberia,66.2,78,6
Libya,73.3,78,3
Liechtenstein,58.0,58,1
Lithuania,63.9,70,7
Luxembourg,66.1,77,14
Madagascar,68.7,72,6
Malawi,62.0,62,1
Malaysia,71.5,73,2
Mali,75.0,79,15
Malta,65.4,75,7
Mauritania,65.5,75,6
Mexico,73.7,80,15
Moldova,63.6,66,5
Montenegro,69.4,78,15
Montserrat,62.0,65,3
Morocco,79.9,89,15
Mozambique,73.5,79,4
Namibia,67.0,67,1
New Zealand,69.9,82,15
Niger,69.0,69,1
Nigeria,79.2,87,15
North Macedonia,69.2,79,15
Northern Ireland,70.9,78,15
Norway,78.9,90,15
Pakistan,69.0,69,1
Palestine,68.7,69,3
Panama,68.3,76,11
Paraguay,74.9,79,15
Peru,72.3,75,15
Philippines,67.8,72,4
Poland,78.7,88,15
Portugal,84.5,89,15
Republic of Ireland,74.8,79,15
Romania,74.4,79,15
Russia,71.7,79,15
Rwanda,63.5,64,2
Saudi Arabia,72.5,82,15
Scotland,77.4,85,15
Senegal,79.0,83,15
Serbia,79.5,84,15
Sierra Leone,65.0,72,15
Slovakia,76.9,83,15
Slovenia,74.7,88,15
Somalia,63.0,63,1
South Africa,66.3,73,14
South Korea,75.8,85,15
Spain,85.8,90,15
Sri Lanka,67.0,67,1
St. Kitts and Nevis,61.2,64,4
St. Lucia,64.3,66,3
Suriname,70.8,75,15
Sweden,79.1,88,15
Switzerland,80.2,87,15
Syria,65.3,71,10
Taiwan,61.7,72,3
Tajikistan,62.0,62,1
Tanzania,66.3,72,3
Thailand,63.0,63,1
Togo,68.9,77,15
Trinidad and Tobago,60.1,66,8
Tunisia,71.7,80,15
Turkey,79.5,86,15
Uganda,64.9,69,7
Ukraine,78.3,83,15
United Arab Emirates,65.9,73,10
United States,78.4,84,15
Uruguay,80.3,89,15
Uzbekistan,70.5,77,4
Vanuatu,68.0,68,1
Venezuela,72.7,81,15
Wales,74.6,79,15
Zambia,68.4,75,8
Zimbabwe,65.7,76,14
