team_a,team_b,is_knockout,neutral_venue,elo_diff,elo_official_diff,fifa_rank_diff,form5_win_rate_diff,form10_win_rate_diff,form10_gd_diff,form10_gf_diff,avg_overall_diff,max_overall_diff,market_value_diff,avg_market_value_diff,h2h_played,h2h_win_rate_a,h2h_wc_played,h2h_wc_win_rate_a,shootout_win_rate_a,shootout_win_rate_b,shootout_win_rate_diff,avg_caps_diff,elo_a,elo_b,fifa_rank_a,fifa_rank_b,avg_overall_a,avg_overall_b,form10_wr_a,form10_wr_b,strength_score_a,strength_score_b,strength_score_diff,target,home_score,away_score,match_date,tournament
Belgium,United States,0,1,-173.4,100.0,8,-0.2,0.1,2.0,1.8,4.3,5.0,184850000.0,7109615.0,1,1.0,0,0.333,1.0,0.6,0.4,4.8,1839.8,2013.2,9,17,82.7,78.4,0.5,0.4,0.6745,0.6429,0.0316,0,0,3,1930-07-13,FIFA World Cup
France,Mexico,0,1,213.5,290.0,11,0.2,0.2,1.1,1.7,12.4,11.0,1331150000.0,51198077.0,0,0.333,0,0.333,0.455,0.5,-0.045,-16.2,2173.2,1959.7,3,14,86.1,73.7,0.8,0.6,0.9401,0.6511,0.289,2,4,1,1930-07-13,FIFA World Cup
Brazil,Yugoslavia,0,1,165.2,115.1,10,-0.2,-0.3,-1.4,-1.1,10.3,9.0,928200000.0,35700000.0,0,0.333,0,0.333,0.562,0.0,0.562,35.8,2080.1,1914.9,6,16,85.3,75.0,0.5,0.8,0.7692,0.6713,0.0979,0,1,2,1930-07-14,FIFA World Cup
Peru,Romania,0,1,119.5,119.5,16,-0.4,-0.3,-1.8,-1.9,-2.1,-4.0,0.0,0.0,0,0.333,0,0.333,0.4,0.25,0.15,0.0,1739.2,1619.7,31,47,72.3,74.4,0.2,0.5,0.4874,0.548,-0.0607,0,1,3,1930-07-14,FIFA World Cup
Argentina,France,0,1,33.8,50.0,2,-0.2,-0.1,-0.6,-1.1,-2.0,-3.0,-715500000.0,-27519231.0,0,0.333,0,0.333,0.652,0.455,0.197,17.3,2207.0,2173.2,1,3,84.1,86.1,0.7,0.8,0.8207,0.9401,-0.1195,2,1,0,1930-07-15,FIFA World Cup
Chile,Mexico,0,1,-244.2,-94.5,-26,-0.6,-0.5,-1.7,-0.6,0.8,-3.0,-191850000.0,-7378846.0,1,1.0,0,0.333,0.5,0.5,0.0,-47.6,1715.5,1959.7,40,14,74.5,73.7,0.1,0.6,0.4635,0.6511,-0.1877,2,3,0,1930-07-16,FIFA World Cup
Bolivia,Yugoslavia,0,1,-147.9,-147.9,-68,-0.2,-0.5,-2.9,-1.7,-7.5,-8.0,0.0,0.0,0,0.333,0,0.333,0.5,0.0,0.5,0.0,1767.0,1914.9,84,16,67.5,75.0,0.3,0.8,0.5061,0.6713,-0.1652,0,0,4,1930-07-17,FIFA World Cup
Paraguay,United States,0,1,-126.6,-125.0,-37,-0.2,0.1,0.0,0.0,-3.5,-5.0,-209500000.0,-8057692.0,0,0.333,0,0.333,0.462,0.6,-0.138,-10.5,1886.6,2013.2,54,17,74.9,78.4,0.5,0.4,0.612,0.6429,-0.0309,0,0,3,1930-07-17,FIFA World Cup
Uruguay,Peru,0,0,152.3,220.8,15,0.4,0.1,1.0,0.8,8.0,14.0,359300000.0,13819231.0,2,1.0,0,0.333,0.529,0.4,0.129,36.3,1891.5,1739.2,16,31,80.3,72.3,0.3,0.2,0.6023,0.4874,0.1149,2,1,0,1930-07-18,FIFA World Cup
Argentina,Mexico,0,1,247.3,340.0,13,0.0,0.1,0.5,0.6,10.4,8.0,615650000.0,23678846.0,0,0.333,0,0.333,0.652,0.5,0.152,1.2,2207.0,1959.7,1,14,84.1,73.7,0.7,0.6,0.8207,0.6511,0.1695,2,6,3,1930-07-19,FIFA World Cup
Chile,France,0,1,-457.7,-384.5,-37,-0.8,-0.7,-2.8,-2.3,-11.6,-14.0,-1523000000.0,-58576923.0,0,0.333,0,0.333,0.5,0.455,0.045,-31.4,1715.5,2173.2,40,3,74.5,86.1,0.1,0.8,0.4635,0.9401,-0.4767,2,1,0,1930-07-19,FIFA World Cup
Belgium,Paraguay,0,1,-46.8,225.0,45,0.0,0.0,2.0,1.8,7.8,10.0,394350000.0,15167308.0,0,0.333,0,0.333,1.0,0.462,0.538,15.2,1839.8,1886.6,9,54,82.7,74.9,0.5,0.5,0.6745,0.612,0.0625,0,0,1,1930-07-20,FIFA World Cup
Bolivia,Brazil,0,1,-313.1,-263.0,-78,0.0,-0.2,-1.5,-0.6,-17.8,-17.0,-928200000.0,-35700000.0,0,0.333,0,0.333,0.5,0.562,-0.062,-35.8,1767.0,2080.1,84,6,67.5,85.3,0.3,0.5,0.5061,0.7692,-0.2631,0,0,4,1930-07-20,FIFA World Cup
Uruguay,Romania,0,0,271.8,340.3,31,0.0,-0.2,-0.8,-1.1,5.9,10.0,359300000.0,13819231.0,0,0.333,0,0.333,0.529,0.25,0.279,36.3,1891.5,1619.7,16,47,80.3,74.4,0.3,0.5,0.6023,0.548,0.0543,2,4,0,1930-07-21,FIFA World Cup
Argentina,Chile,0,1,491.5,434.5,39,0.6,0.6,2.2,1.2,9.6,11.0,807500000.0,31057692.0,13,0.846,0,0.333,0.652,0.5,0.152,48.7,2207.0,1715.5,1,40,84.1,74.5,0.7,0.1,0.8207,0.4635,0.3572,2,3,1,1930-07-22,FIFA World Cup
