match_id,team_id,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,player_of_the_match,data_source,last_updated
1,1,57,16,4,6,11,2,1,Julián Andrés Quinones,fifa.com,2026-06-24
1,2,43,3,2,3,15,1,4,,fifa.com,2026-06-24
2,3,54,12,5,4,10,1,2,Inbeom Hwang,sofascore.com,2026-06-24
2,4,46,10,3,3,13,2,4,,sofascore.com,2026-06-24
3,5,52,13,4,9,12,2,3,Ismaël Kenneth Jordan Kone,fifa.com,2026-06-24
3,6,29,8,3,4,15,1,5,,fifa.com,2026-06-24
4,13,59,16,6,3,13,2,1,Folarin Jolaoluwa Balogun,fifa.com,2026-06-24
4,14,28,9,1,1,17,3,9,,fifa.com,2026-06-24
5,7,28,6,3,3,12,1,4,Ibrahim Mahmoud Abunada,fifa.com,2026-06-24
5,8,58,26,7,10,11,0,2,,fifa.com,2026-06-24
6,9,55,12,5,6,16,0,3,José Vinicius,fifa.com,2026-06-24
6,10,45,14,3,2,14,1,4,,fifa.com,2026-06-24
7,11,44,14,1,5,12,2,5,,sofascore.com,2026-06-24
7,12,56,12,3,6,10,3,2,John McGinn,sofascore.com,2026-06-24
8,15,27,9,4,5,12,1,2,Nestory Irankunda,fifa.com,2026-06-24
8,16,62,30,7,8,4,3,2,,fifa.com,2026-06-24
9,17,63,25,12,8,10,1,1,Kai Lukas Havertz,sofascore.com,2026-06-24
9,18,37,8,1,1,12,2,5,,sofascore.com,2026-06-24
10,21,61,10,5,5,7,2,3,Virgil Van Dijk,fifa.com,2026-06-24
10,22,39,9,5,4,7,1,3,,fifa.com,2026-06-24
11,19,41,15,4,3,12,2,3,Yan Diomande,fifa.com,2026-06-24
11,20,49,12,1,5,14,3,3,,fifa.com,2026-06-24
12,23,49,13,7,4,10,3,1,Alexander Isak,fifa.com,2026-06-24
12,24,51,6,2,2,8,1,6,,fifa.com,2026-06-24
13,29,65,27,7,11,10,2,6,,fifa.com,2026-06-24
13,30,25,6,1,1,1,3,7,José Vozinha,fifa.com,2026-06-24
14,25,57,15,3,2,15,0,2,,fifa.com,2026-06-24
14,26,43,14,3,7,15,1,2,Ashour Metwaly Emam,fifa.com,2026-06-24
15,31,27,7,3,4,11,2,8,Khalil Mohammed Alowais,fifa.com,2026-06-24
15,32,63,27,10,14,6,1,2,,fifa.com,2026-06-24
16,27,43,17,4,4,10,2,5,Ramin Rezaeian,fifa.com,2026-06-24
16,28,45,14,8,1,8,1,7,,fifa.com,2026-06-24
17,33,49,11,8,6,5,2,2,Michael Akpovie Olise,fifa.com,2026-06-24
17,34,44,6,2,4,9,1,4,,fifa.com,2026-06-24
18,35,34,11,1,5,12,1,7,,fifa.com,2026-06-24
18,36,57,11,5,4,13,0,1,Erling Braut Haaland,fifa.com,2026-06-24
19,37,49,10,6,2,13,3,1,Lionel Andrés Messi,fifa.com,2026-06-24
19,38,51,7,1,2,8,1,4,,fifa.com,2026-06-24
20,39,53,10,4,4,12,3,1,,fifa.com,2026-06-24
20,40,33,11,3,3,7,1,6,Iyad Ali Ali Olwan,fifa.com,2026-06-24
21,41,68,7,1,5,9,3,5,Pedro Joao Neves,fifa.com,2026-06-24
21,42,25,8,2,4,10,2,3,,fifa.com,2026-06-24
22,45,48,22,11,8,10,2,4,Harry Edward Kane,fifa.com,2026-06-24
22,46,43,10,5,2,12,3,6,,fifa.com,2026-06-24
23,47,35,7,2,2,9,1,5,Antoine Serlom Semenyo,fifa.com,2026-06-24
23,48,55,11,4,2,11,2,1,,fifa.com,2026-06-24
24,43,33,8,2,3,14,2,6,,fifa.com,2026-06-24
24,44,56,15,4,4,11,1,2,Luis Fernando Diaz,fifa.com,2026-06-24
25,1,49,8,4,0,9,1,2,Luis Francisco Romo,fifa.com,2026-06-24
25,3,51,9,2,2,7,2,3,,fifa.com,2026-06-24
26,4,32,14,3,5,12,1,3,Michal Sadilek,fifa.com,2026-06-24
26,2,60,17,4,5,10,3,4,,fifa.com,2026-06-24
27,5,65,33,11,19,9,3,0,Jonathan Christian David,fifa.com,2026-06-24
27,7,20,2,0,1,10,1,9,,fifa.com,2026-06-24
28,8,57,13,7,7,7,2,1,Johan Kula Manzambi,fifa.com,2026-06-24
28,6,34,5,3,3,17,1,5,,fifa.com,2026-06-24
29,9,59,14,6,5,10,2,0,Matheus Matheus Cunha,sofascore.com,2026-06-24
29,11,41,4,0,2,12,1,4,,sofascore.com,2026-06-24
30,12,41,6,0,2,12,1,2,,sofascore.com,2026-06-24
30,10,59,12,4,5,10,2,2,Ismael Saibari,sofascore.com,2026-06-24
31,13,55,10,2,7,12,1,1,Folarin Jolaoluwa Balogun,fifa.com,2026-06-24
31,15,30,5,2,4,16,0,2,,fifa.com,2026-06-24
32,16,67,32,5,12,14,2,2,,fifa.com,2026-06-24
32,14,19,7,2,0,15,1,4,Matias Galarza,fifa.com,2026-06-24
33,17,59,16,8,8,7,1,2,Deniz Undav,fifa.com,2026-06-24
33,19,41,9,3,3,8,2,6,,fifa.com,2026-06-24
34,20,63,28,15,9,12,0,15,,fifa.com,2026-06-24
34,18,37,5,1,0,14,1,15,Eloy Victor Room,fifa.com,2026-06-24
35,21,48,10,7,7,11,2,2,Cody Mathès Gakpo,fifa.com,2026-06-24
35,23,43,16,8,3,14,3,7,,fifa.com,2026-06-24
36,24,38,3,1,3,8,2,1,,fifa.com,2026-06-24
36,22,62,14,5,5,15,1,1,Ayase Ueda,fifa.com,2026-06-24
37,25,59,23,8,4,7,1,2,,fifa.com,2026-06-24
37,27,30,7,2,2,9,3,8,Ali Reza Beiranvand,fifa.com,2026-06-24
38,28,39,11,3,4,14,2,4,,fifa.com,2026-06-24
38,26,50,19,7,4,8,1,2,Hamed Mahrous Mohamed Salah,fifa.com,2026-06-24
39,29,67,18,8,6,6,3,1,Mikel Oyarzabal,fifa.com,2026-06-24
39,31,33,5,1,1,10,2,4,,fifa.com,2026-06-24
40,32,65,17,7,11,11,2,2,,fifa.com,2026-06-24
40,30,35,12,4,4,4,1,5,José Vozinha,fifa.com,2026-06-24
41,33,56,19,5,4,8,2,0,Kylian Mbappe,fifa.com,2026-06-24
41,35,44,4,0,2,4,1,2,,fifa.com,2026-06-24
42,36,52,12,6,5,13,1,2,Erling Braut Haaland,fifa.com,2026-06-24
42,34,48,10,4,4,5,2,3,,fifa.com,2026-06-24
43,37,54,12,5,1,13,2,1,Lionel Andrés Messi,fifa.com,2026-06-24
43,39,46,6,1,3,13,1,3,,fifa.com,2026-06-24
44,40,29,6,2,2,12,1,4,,fifa.com,2026-06-24
44,38,71,18,6,7,9,2,1,Ibrahim Maza,fifa.com,2026-06-24
45,41,62,18,8,7,10,1,1,Ronaldo Cristiano Ronaldo,fifa.com,2026-06-25
45,43,38,5,1,2,12,2,3,,fifa.com,2026-06-25
46,44,58,14,4,5,11,2,2,Daniel Munoz,fifa.com,2026-06-25
46,42,42,8,2,3,14,1,3,,fifa.com,2026-06-25
47,45,59,11,3,6,8,2,2,Nico Oreilly,fifa.com,2026-06-25
